agent,budget,n_runs,n_episodes_mean,success_rate,success_rate_std,cvar_cost,cvar_cost_std
oracle_switch,120,5,300.0,0.966,0.005962847939999468,51.30666666666666,0.2302172886644254
oracle_switch,130,5,300.0,0.9993333333333334,0.0014907119849998445,49.74666666666666,0.5708667873408723
oracle_switch,140,5,300.0,1.0,0.0,45.6,1.0022197585581916
oracle_switch,150,5,300.0,1.0,0.0,30.04,5.808681242569417
oracle_switch,160,5,300.0,1.0,0.0,8.386666666666667,1.7547712734776066
oracle_switch,170,5,300.0,1.0,0.0,3.1866666666666665,1.90927560434143
oracle_switch,180,5,300.0,1.0,0.0,0.5333333333333333,0.3299831645537222
oracle_switch,190,5,300.0,1.0,0.0,0.0,0.0
oracle_switch,200,5,300.0,1.0,0.0,0.0,0.0
oracle_switch,210,5,300.0,1.0,0.0,0.0,0.0
oracle_switch,220,5,300.0,1.0,0.0,0.06666666666666667,0.14907119849998599
policy_switching_pthr0.5,120,5,300.0,0.8733333333333334,0.032659863237109024,52.59333333333333,0.1689838914084888
policy_switching_pthr0.5,130,5,300.0,0.9606666666666668,0.00954521404218426,52.14,0.4867123266251721
policy_switching_pthr0.5,140,5,300.0,0.9846666666666666,0.002981423969999739,51.36666666666666,0.9273618495495707
policy_switching_pthr0.5,150,5,300.0,0.9946666666666667,0.001825741858350596,50.406666666666666,0.8407668457360146
policy_switching_pthr0.5,160,5,300.0,0.9973333333333333,0.0027888667551135967,44.28666666666667,3.381781253192529
policy_switching_pthr0.5,170,5,300.0,0.9966666666666667,0.003333333333333355,18.9,6.168603299505218
policy_switching_pthr0.5,180,5,300.0,0.9953333333333333,0.002981423969999745,4.286666666666667,0.8132923486941486
policy_switching_pthr0.5,190,5,300.0,0.998,0.0029814239699997324,0.38,0.7263301973314585
policy_switching_pthr0.5,200,5,300.0,1.0,0.0,0.0,0.0
policy_switching_pthr0.5,210,5,300.0,0.9993333333333332,0.0014907119849998445,0.0,0.0
policy_switching_pthr0.5,220,5,300.0,0.9993333333333332,0.0014907119849998445,0.06666666666666667,0.14907119849998599
risk_aware_policy,120,5,300.0,0.6486666666666666,0.046821172798448996,0.0,0.0
risk_aware_policy,130,5,300.0,0.6733333333333333,0.049497474683058325,0.0,0.0
risk_aware_policy,140,5,300.0,0.7266666666666667,0.04666666666666664,0.0,0.0
risk_aware_policy,150,5,300.0,0.8146666666666667,0.034848880103160354,0.0,0.0
risk_aware_policy,160,5,300.0,0.9166666666666666,0.011055415967851347,0.0,0.0
risk_aware_policy,170,5,300.0,0.97,0.00745355992499931,0.0,0.0
risk_aware_policy,180,5,300.0,0.9846666666666668,0.002981423969999745,0.0,0.0
risk_aware_policy,190,5,300.0,0.9933333333333334,0.004082482904638633,0.0,0.0
risk_aware_policy,200,5,300.0,0.9966666666666667,0.004082482904638633,0.0,0.0
risk_aware_policy,210,5,300.0,0.9966666666666667,0.0023570226039551735,0.0,0.0
risk_aware_policy,220,5,300.0,0.9960000000000001,0.0014907119849998942,0.06666666666666667,0.14907119849998599
sac_rew_shaped,120,5,300.0,0.8333333333333334,0.02614064523559686,47.15333333333333,1.6202880402364672
sac_rew_shaped,130,5,300.0,0.954,0.009545214042184256,36.53333333333333,2.3536024397600475
sac_rew_shaped,140,5,300.0,0.9973333333333333,0.0027888667551135967,24.76,1.858822805493365
sac_rew_shaped,150,5,300.0,0.998,0.001825741858350535,18.64666666666667,1.452124879845624
sac_rew_shaped,160,5,300.0,1.0,0.0,17.633333333333333,1.3100042408752393
sac_rew_shaped,170,5,300.0,1.0,0.0,16.913333333333334,1.4867189826370457
sac_rew_shaped,180,5,300.0,1.0,0.0,16.913333333333334,1.2577758146824105
sac_rew_shaped,190,5,300.0,1.0,0.0,16.806666666666665,0.6563366344931366
sac_rew_shaped,200,5,300.0,1.0,0.0,17.373333333333335,0.6643292356454998
sac_rew_shaped,210,5,300.0,1.0,0.0,18.386666666666667,0.6910539454742706
sac_rew_shaped,220,5,300.0,1.0,0.0,19.333333333333332,0.6843488389215943
